current,dc,valver,command,valve
0,1,0,0,-6.116110536
0.79411763,6,-1,1028,-6.124074222
0.79411763,16,-15,1028,-6.23556582
0.529411793,20,-57,1028,-6.570040615
0.558823526,20,-95,1028,-6.872660667
0.382352948,20,-161,1028,-7.398263917
0.470588237,20,-213,1028,-7.812375567
0.529411793,20,-263,1028,-8.210559847
0.441176474,20,-302,1028,-8.521143585
0.470588237,20,-366,1028,-9.030819463
0.647058845,20,-416,1028,-9.429003743
0.70588237,20,-464,1028,-9.811260651
0.941176474,20,-498,1028,-10.08202596
1.147058845,20,-549,1028,-10.48817393
1.264705896,20,-587,1028,-10.79079398
1.294117689,20,-618,1028,-11.03766823
1.617647052,20,-640,1028,-11.21286932
1.911764741,20,-672,1028,-11.46770725
2.029411793,20,-693,1028,-11.63494465
2.205882311,20,-710,1028,-11.77032731
1.441176414,20,-722,1028,-11.86589153
1.882352948,20,-738,1028,-11.9933105
2.411764622,20,-749,1028,-12.08091105
2.647058725,20,-757,1028,-12.14462053
2.617647171,20,-762,1028,-12.18443896
2.617647171,20,-771,1028,-12.25611213
2.617647171,20,-771,1028,-12.25611213
2.882352829,20,-776,1028,-12.29593056
2.882352829,20,-776,1028,-12.29593056
2.882352829,20,-776,1028,-12.29593056
2.882352829,20,-776,1028,-12.29593056
2.882352829,20,-776,1028,-12.29593056
2.882352829,20,-776,1028,-12.29593056
2.882352829,20,-776,1028,-12.29593056
2.852941275,20,-776,1028,-12.29593056
2.852941275,20,-776,1028,-12.29593056
2.852941275,20,-776,1028,-12.29593056
2.852941275,20,-776,1028,-12.29593056
2.852941275,15,-776,1030,-12.29593056
0.79411763,5,-776,1030,-12.29593056
0.029411765,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,1030,-6.116110536
0,1,0,3076,-6.116110536
0.647058845,6,2,3076,-6.100183165
1.823529363,25,22,3076,-5.940909453
1.264705896,25,63,3076,-5.614398344
1.117647052,25,112,3076,-5.224177749
0.852941155,25,150,3076,-4.921557697
0.70588237,25,219,3076,-4.372063391
0.617647052,25,277,3076,-3.910169627
0.558823526,25,338,3076,-3.424384805
0.558823526,25,382,3076,-3.073982639
0.441176474,25,460,3076,-2.452815163
0.441176474,25,524,3076,-1.943139285
0.647058845,25,588,3076,-1.433463407
0.441176474,25,636,3076,-1.051206498
0.529411793,25,717,3076,-0.406147965
0,25,778,3076,0.079636856
0,10,782,3076,0.111491598
0,1,782,3076,0.111491598
0,1,782,1,0.111491598
