current,dc,valver,command,valve
0,1,13339,3,100.1114916
0.79411763,6,13339,2309,100.1114916
0.676470578,11,13330,2309,100.0398184
1.294117689,31,13282,2309,99.65756152
1.382352948,35,13211,2309,99.09213984
1.147058845,35,13131,2309,98.45504499
1.117647052,35,13071,2309,97.97722386
1.088235259,35,12968,2309,97.15696424
1.205882311,35,12891,2309,96.54376045
1.235294104,35,12811,2309,95.9066656
0.941176474,35,12751,2309,95.42884447
0.970588207,35,12651,2309,94.63247591
1.088235259,35,12575,2309,94.0272358
1.176470637,35,12498,2309,93.41403201
1.235294104,35,12440,2309,92.95213825
1.058823586,35,12344,2309,92.18762443
1.088235259,35,12267,2309,91.57442064
1.382352948,35,12188,2309,90.94528948
0.911764681,35,12133,2309,90.50728677
1.235294104,35,12037,2309,89.74277296
1.088235259,35,11960,2309,89.12956916
0.941176474,35,11883,2309,88.51636537
1.470588207,35,11825,2309,88.05447161
1.470588207,35,11825,2309,88.05447161
1.147058845,35,11653,2309,86.68471769
1.294117689,35,11575,2309,86.06355021
1,35,11517,2309,85.60165645
1.029411793,35,11421,2309,84.83714263
1.323529363,35,11345,2309,84.23190252
1.176470637,35,11268,2309,83.61869873
1.176470637,35,11211,2309,83.16476865
1.382352948,35,11113,2309,82.38432747
1.088235259,35,11037,2309,81.77908736
0.764705896,35,10961,2309,81.17384726
1.176470637,35,10907,2309,80.74380823
1.205882311,35,10813,2309,79.99522179
1.205882311,35,10737,2309,79.38998168
1.235294104,35,10662,2309,78.79270526
1.235294104,35,10606,2309,78.34673887
0.941176474,35,10512,2309,77.59815242
0.882352948,35,10435,2309,76.98494863
1,35,10361,2309,76.3956359
1.411764741,35,10304,2309,75.94170582
1.323529363,35,10209,2309,75.18515569
1,35,10132,2309,74.5719519
1.147058845,35,10055,2309,73.95874811
1.235294104,35,9997,2309,73.49685434
0.941176474,35,9900,2309,72.72437684
1.088235259,35,9819,2309,72.07931831
0.764705896,35,9744,2309,71.48204189
1.117647052,35,9685,2309,71.01218444
0.970588207,35,9585,2309,70.21581588
0.941176474,35,9509,2309,69.61057577
1.058823586,35,9432,2309,68.99737198
0.882352948,35,9373,2309,68.52751453
1.058823586,35,9276,2309,67.75503703
1.323529363,35,9197,2309,67.12590587
1.411764741,35,9118,2309,66.49677471
1.176470637,35,9062,2309,66.05080831
0.882352948,35,8963,2309,65.26240344
1.117647052,35,8884,2309,64.63327228
1.382352948,35,8808,2309,64.02803217
1,35,8749,2309,63.55817472
1.147058845,35,8652,2309,62.78569722
1.147058845,35,8572,2309,62.14860237
0.970588207,35,8497,2309,61.55132595
1.441176414,35,8439,2309,61.08943219
1.117647052,35,8343,2309,60.32491837
1.029411793,35,8263,2309,59.68782352
0.911764681,35,8186,2309,59.07461973
