current,dc,valver,command,valve
0,1,0,0,-7.843137255
0,1,0,516,-7.843137255
0,1,0,516,-7.843137255
0.882352948,16,12,516,-7.720588235
0.911764681,20,50,516,-7.33251634
0.823529422,20,127,516,-6.546160131
0.823529422,20,127,516,-6.546160131
0.647058845,20,184,516,-5.964052288
0.852941155,20,228,516,-5.514705882
1.352941155,20,292,516,-4.861111111
1.352941155,20,292,516,-4.861111111
1.647058845,20,332,516,-4.452614379
1.529411793,20,358,516,-4.187091503
2,20,394,516,-3.819444444
2,20,394,516,-3.819444444
2.323529482,20,414,516,-3.615196078
2.529411793,20,426,516,-3.492647059
2.352941275,20,444,516,-3.308823529
2.352941275,20,444,516,-3.308823529
2.705882311,20,452,516,-3.227124183
2.558823586,20,457,516,-3.176062092
2.794117689,20,468,516,-3.06372549
2.794117689,20,468,516,-3.06372549
2.970588207,20,468,516,-3.06372549
2.970588207,20,468,516,-3.06372549
2.970588207,20,468,516,-3.06372549
2.970588207,20,468,516,-3.06372549
2.970588207,20,468,516,-3.06372549
2.970588207,20,468,516,-3.06372549
2.941176414,20,468,516,-3.06372549
2.941176414,20,468,516,-3.06372549
2.941176414,20,468,516,-3.06372549
2.941176414,20,468,516,-3.06372549
2.941176414,20,468,516,-3.06372549
2.941176414,20,468,516,-3.06372549
0.882352948,5,468,518,-3.06372549
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
0,1,10944,518,103.9215686
1.529411793,16,10933,2564,103.809232
1.529411793,16,10933,2564,103.809232
0.911764681,25,10883,2564,103.2986111
1.117647052,25,10830,2564,102.7573529
0.70588237,25,10734,2564,101.7769608
0.70588237,25,10734,2564,101.7769608
0.647058845,25,10660,2564,101.0212418
0.529411793,25,10600,2564,100.4084967
0,10,10548,2564,99.87745098
0,10,10548,2564,99.87745098
0,1,10548,3,99.87745098
